CNT,Promedio_Proactividad,Promedio_Rendimiento,Media_Global_Proactividad,Media_Global_Rendimiento,Cuadrante,REGION
SRB,-0.01570464588852608,439.8169332917511,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
SVK,-0.11006629857234199,468.620391981456,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
SVN,-0.12184362114786583,471.7052422109805,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
SWE,0.24529832573189359,482.42059744729903,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
TAP,-0.1362516273400243,533.8761279836094,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Asia
THA,0.050962383040991106,414.58713478516773,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
TUR,-0.07976756589693561,451.8850976965517,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Otro
URY,0.007444686246511635,409.28727701722573,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
USA,0.05306595188667099,462.80968554481547,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Americas
UZB,0.23402688700057905,363.90946626902513,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
VNM,-0.11163789476251924,468.83368103164145,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Asia
