CNT,Grupo,Media_Rendimiento,REGION
JOR,Nativo,359.7172441112243,Asia
JPN,Inmigrante 1ra generación,,Asia
JPN,Inmigrante 2da generación,,Asia
JPN,Nativo,,Asia
KAZ,Inmigrante 1ra generación,442.5875248472505,Asia
KAZ,Inmigrante 2da generación,451.13300658914727,Asia
KAZ,Nativo,445.88944445525294,Asia
KHM,Inmigrante 1ra generación,237.24182000000002,Asia
KHM,Inmigrante 2da generación,304.23151666666666,Asia
KHM,Nativo,327.6337194978124,Asia
KOR,Inmigrante 1ra generación,446.30903750000004,Asia
KOR,Inmigrante 2da generación,543.2448666666667,Asia
KOR,Nativo,531.2926029850746,Asia
KSV,Inmigrante 1ra generación,352.56829259259257,Europe
KSV,Inmigrante 2da generación,341.77704545454543,Europe
KSV,Nativo,352.52802721604314,Europe
LTU,Inmigrante 1ra generación,489.8669016129032,Europe
LTU,Inmigrante 2da generación,453.2174981132075,Europe
LTU,Nativo,471.65755453519535,Europe
LVA,Inmigrante 1ra generación,486.2458324324324,Europe
LVA,Inmigrante 2da generación,486.2046460992908,Europe
LVA,Nativo,482.45578704523575,Europe
MAC,Inmigrante 1ra generación,562.149500623053,Asia
MAC,Inmigrante 2da generación,557.2086576785714,Asia
MAC,Nativo,541.4964970132108,Asia
MAR,Inmigrante 1ra generación,321.79013125,Africa
MAR,Inmigrante 2da generación,306.46394375,Africa
MAR,Nativo,363.6909261768588,Africa
MDA,Inmigrante 1ra generación,373.16145312500004,Europe
MDA,Inmigrante 2da generación,409.7587141025641,Europe
MDA,Nativo,415.8186784979592,Europe
MEX,Inmigrante 1ra generación,327.2840835820895,Americas
MEX,Inmigrante 2da generación,355.1161580645161,Americas
MEX,Nativo,396.3449226171244,Americas
MKD,Inmigrante 1ra generación,366.6701867647059,Europe
MKD,Inmigrante 2da generación,341.30658405797107,Europe
MKD,Nativo,391.2733190947011,Europe
MLT,Inmigrante 1ra generación,478.4781625454546,Europe
MLT,Inmigrante 2da generación,447.1307073684211,Europe
MLT,Nativo,468.8054391730141,Europe
MNE,Inmigrante 1ra generación,406.902614556962,Europe
MNE,Inmigrante 2da generación,415.0892099056604,Europe
MNE,Nativo,405.62394290982854,Europe
MNG,Inmigrante 1ra generación,353.81916,Asia
MNG,Inmigrante 2da generación,360.87320714285715,Asia
MNG,Nativo,424.15238498924737,Asia
MYS,Inmigrante 1ra generación,380.84460869565214,Asia
MYS,Inmigrante 2da generación,382.8732837837838,Asia
MYS,Nativo,409.8685355708549,Asia
NLD,Inmigrante 1ra generación,427.2489675324676,Europe
NLD,Inmigrante 2da generación,448.04296908315564,Europe
NLD,Nativo,499.07176249424765,Europe
NOR,Inmigrante 1ra generación,432.4946935684647,Europe
NOR,Inmigrante 2da generación,447.41197933450087,Europe
NOR,Nativo,473.763123281756,Europe
NZL,Inmigrante 1ra generación,480.4657386567164,Oceania
NZL,Inmigrante 2da generación,496.2970041474655,Oceania
NZL,Nativo,475.18251353763765,Oceania
PAN,Inmigrante 1ra generación,397.1505208860759,Americas
PAN,Inmigrante 2da generación,394.8212295081967,Americas
PAN,Nativo,351.32081336416184,Americas
PER,Inmigrante 1ra generación,387.6095111111111,Americas
PER,Inmigrante 2da generación,308.369994117647,Americas
PER,Nativo,394.42412780197446,Americas
PHL,Inmigrante 1ra generación,305.16792333333336,Asia
PHL,Inmigrante 2da generación,280.5191915662651,Asia
PHL,Nativo,355.4508947375886,Asia
POL,Inmigrante 1ra generación,442.2631017857143,Europe
POL,Inmigrante 2da generación,558.451,Europe
POL,Nativo,494.87066319771355,Europe
PRT,Inmigrante 1ra generación,436.5492553488372,Europe
PRT,Inmigrante 2da generación,463.7951880645162,Europe
PRT,Nativo,478.95343804724934,Europe
PRY,Inmigrante 1ra generación,354.5102902439025,Americas
PRY,Inmigrante 2da generación,355.61064468085107,Americas
PRY,Nativo,340.5280870096077,Americas
PSE,Inmigrante 1ra generación,335.2308924242424,Asia
PSE,Inmigrante 2da generación,352.85396637168145,Asia
PSE,Nativo,365.08584515920273,Asia
QAT,Inmigrante 1ra generación,445.6235327749684,Asia
QAT,Inmigrante 2da generación,416.987053271028,Asia
QAT,Nativo,377.0339887856258,Asia
ROU,Inmigrante 1ra generación,438.26428888888887,Europe
ROU,Inmigrante 2da generación,366.6777375,Europe
ROU,Nativo,435.7693449330784,Europe
SAU,Inmigrante 1ra generación,417.71959603729607,Asia
SAU,Inmigrante 2da generación,413.40590340557276,Asia
SAU,Nativo,385.9586769753886,Asia
SGP,Inmigrante 1ra generación,588.3416424570912,Asia
SGP,Inmigrante 2da generación,605.1814129655172,Asia
SGP,Nativo,565.9168325722665,Asia
SLV,Inmigrante 1ra generación,346.2337304347826,Americas
SLV,Inmigrante 2da generación,307.7758842105263,Americas
SLV,Nativo,345.22423015158336,Americas
SRB,Inmigrante 1ra generación,437.0891240740741,Europe
