PVxMPIN,PVxSCIE
544.1957,586.5169
251.5303,297.5086
508.8841000000001,476.2807
384.1948,459.4299
520.0496999999999,502.8558
402.7671,431.7808
624.4866999999999,643.8383
375.3899,439.8575
478.4034,486.7362999999999
349.0982,314.88370000000003
370.9025,316.40720000000005
402.2571,439.3224
377.5812,375.9307
542.8385999999999,508.205
528.8163000000001,572.9736
488.6722,546.2194999999999
396.0036,313.94350000000003
435.32970000000006,473.6267
434.6839999999999,505.0305
530.2938999999999,527.9065
400.98460000000006,457.3526
532.5197000000001,513.3794
587.2271,547.1265000000001
515.6819,537.0114000000001
559.0722,550.5042
527.5274999999999,534.4595999999999
394.8752,345.56859999999995
500.0032,517.9723
372.8138,417.2373
453.5432,402.7727
366.4532,395.7111
518.4497,510.4266
398.0125,364.0797
499.1983,472.55959999999993
447.7708,445.1213
302.9498,390.0941
513.4687000000001,539.2685
400.5995,422.1006
598.7295999999999,608.8791
623.9311,634.7627000000001
380.8083,356.468
345.35790000000003,396.9387
461.9835,509.2923
534.8762,577.0232
350.4305,352.72369999999995
391.39740000000006,410.7663
368.7865,364.4897
417.144,433.5628
521.0917,512.3907999999999
571.9664,587.3728
494.9519,481.2758999999999
428.2434,386.4252
354.1376,349.1313999999999
408.9651,402.2214
340.25000000000006,441.5614000000001
470.8901,447.9449000000001
443.8309,536.4662000000001
383.3412,404.2375
531.6099,533.8217000000001
399.1684,429.1872
315.0547,363.1751
428.2577,433.259
418.4636,365.5345
386.5048000000001,430.03870000000006
332.3319,315.00120000000004
378.7647,454.6854
425.1033000000001,430.5532
466.22739999999993,475.42800000000005
336.90099999999995,360.3916
695.2805999999999,671.6993
544.0733,577.7522000000001
543.3553999999999,524.0749000000001
376.8074,431.7282
476.7141,470.3535999999999
347.43819999999994,362.8356
477.5621,451.7195
405.0358,498.6124
357.548,361.6785
398.8589,442.842
409.1178,473.13
467.5376,479.9091
473.2007,475.8917
393.8317,400.542
564.1805,557.1413
347.90009999999995,370.0624999999999
459.7841,438.4496
375.2361,312.2287
350.6018,353.3801
459.1934,379.37209999999993
501.7775,512.497
368.5392,460.7316
513.3455,507.1185
495.7353,509.2976000000001
334.648,322.25270000000006
286.7359,353.8403
606.8786,596.5941999999999
468.4733,462.6604
524.0169000000001,529.1655999999999
423.4581,460.4918999999999
461.3425000000001,444.2018
456.77560000000005,464.8879
486.4516,400.5666
408.861,326.3682
383.4023,440.9774000000001
509.5523,563.7376999999999
541.3005999999999,566.0201
305.26800000000003,344.6798
351.2019,315.8978000000001
317.4408,321.5825
333.9084,312.872
474.5191999999999,512.2737999999999
417.3187,431.9007
336.17810000000003,325.7427
371.9603,377.7873000000001
377.8482,410.7030000000001
268.3003,311.1077
378.64609999999993,491.0924
616.1566999999999,679.6521
509.0958,555.8788
388.3283,385.0456
400.0364,380.8719
669.4449000000001,708.8281
440.9417,420.1816
382.21190000000007,380.4409
391.4995,408.3602
301.8112,343.7656
645.8951000000001,647.4451999999999
419.40960000000007,419.7071
373.9388,464.0518
438.6881000000001,369.8606
464.4629999999999,406.0937
334.6412,318.39680000000004
563.6649,538.2801000000001
386.285,375.27490000000006
349.4456,316.22030000000007
