ESCS,PVxSCIE,REGION
-0.5261,454.0555,Asia
-0.0241,455.3543000000001,Europe
0.139,411.3804,Asia
0.9346,380.9889,Oceania
0.2333,494.3078,Asia
-1.1635,578.6501999999998,Americas
-1.2311,249.11499999999995,Americas
-0.9957,642.8849,Asia
-0.6363,290.3554,Americas
0.8117,657.675,Europe
-0.4328,532.2533,Europe
-0.7344,486.4321,Europe
-0.9861,365.941,Europe
-0.2142,417.1440000000001,Europe
-0.5193,508.5185,Asia
-0.8027,433.9928999999999,Asia
0.6893,419.8281,Asia
-1.8245,392.4559,Europe
-1.452,395.6874000000001,Europe
-0.5912,510.6516,Europe
-2.0009,421.95200000000006,Americas
-0.2704749146757679,344.45899999999995,Europe
0.286,473.2593,Europe
-1.4104,401.9903000000001,Americas
-1.1232,371.0776,Europe
0.077,405.5684,Americas
0.0176,581.7979,Europe
-1.0755,353.5570000000001,Americas
0.9803,413.4708,Europe
0.001,368.7954,Europe
-2.4937,344.3012,Asia
0.2315,469.1899,Asia
-0.5738,271.057,Europe
-0.8168,446.2562,Americas
0.8131,530.715,Europe
-1.3171,379.38520000000005,Europe
-2.4293,366.102,Asia
0.9306,666.7299999999999,Europe
0.8652,517.4236,Europe
-0.2865,471.5324,Asia
-0.7929,449.0170999999999,Europe
0.7043,382.7149,Europe
-2.4767,369.0037,Africa
0.5128,672.9609,Europe
0.1535,495.8405,Asia
-0.0714,582.5437000000001,Europe
1.6781,339.9143,Asia
1.7027,361.7419,Asia
0.7306,510.1518000000001,Europe
0.8019,456.2533,Europe
-1.3881,649.6902,Asia
0.5085,502.0493,Americas
-1.3328,404.4142000000001,Europe
-1.6996,273.7034,Asia
0.7236,385.921,Asia
0.7443,603.2133,Asia
0.0854,430.73460000000006,Americas
0.1293,461.6905999999999,Europe
-1.7578,406.5714,Africa
-1.4054,335.0031,Americas
-3.2306,314.4437999999999,Asia
-0.7143,558.1402999999999,Europe
-1.0172,425.5858,Europe
-2.0226,391.0404,Asia
-1.1413,526.3601,Americas
1.2287,458.5307999999999,Americas
-0.2542,426.0064,Europe
-1.8888,573.792,Asia
-1.7788,324.56630000000007,Americas
-0.1156,462.4219,Europe
-1.0691,459.1298000000001,Americas
-0.843,434.131,Americas
0.9787,503.1576999999999,Europe
0.3964,520.7686,Asia
-0.9715,251.04300000000003,Asia
0.7092,479.3648,Americas
0.0105,433.82679999999993,Asia
-0.6798,364.5213,Europe
0.6853,473.2066000000001,Europe
-3.2055,379.4244,Africa
-1.7433,331.7524,Americas
-0.2636,583.6057,Asia
1.2774,526.488,Europe
0.5937,436.5096,Europe
1.1839,418.53,Europe
-1.0885,472.6712,Europe
0.7493,606.9527999999999,Europe
-1.3905,281.0388,Otro
-0.3564010966415353,379.9049,Europe
-1.4712,582.1672,Otro
0.3274,533.8819000000001,Asia
0.7545,458.743,Asia
-1.8389,419.1034,Europe
-1.6971,406.2045,Otro
0.0904,385.3522,Asia
-1.317,551.7156,Europe
0.9336,491.8098000000001,Asia
1.3358,461.1162,Europe
0.8573,533.1966,Europe
-0.5721,347.30910000000006,Asia
0.2479,510.07159999999993,Europe
-0.1545,518.5373999999999,Asia
-1.1287,326.4536,Africa
-2.2581,561.3516000000001,Europe
0.6764,485.8145,Asia
-0.5057,429.3093999999999,Asia
0.2254,431.1157,Europe
0.4675,438.37340000000006,Asia
0.2705,415.4152,Europe
0.4707,460.7787,Oceania
-1.3846,347.14609999999993,Americas
-0.0018,398.37320000000005,Americas
-0.9716,315.54310000000004,Asia
-0.5494,430.1486,Europe
-0.103,500.4747,Americas
-1.4678,341.4721,Americas
-1.4214,379.67680000000007,Europe
-1.6467,403.5750999999999,Asia
-0.1786,342.61440000000005,Asia
-1.7245,319.69180000000006,Asia
1.1928,650.5639,Europe
-0.3987,473.5565,Europe
0.8511,657.8158,Asia
0.5806,481.4029000000001,Europe
0.3734,353.1197,Americas
-2.9326,360.15039999999993,Asia
-0.7919,468.598,Americas
1.1246,573.0699999999999,Europe
-1.3096,368.4573,Americas
-0.3707,398.2162,Europe
-0.4309,482.6518,Asia
-0.4775,408.8316,Americas
-0.3564010966415353,309.0902,Europe
0.2988,548.8484,Europe
-1.2499,343.0048,Asia
0.2104,601.3720999999999,Europe
1.4549,501.4808,Americas
-0.2837,407.0591,Europe
-1.0322,348.819,Americas
0.0585,362.8444,Americas
0.5352,563.3288,Asia
-0.1609,424.7067,Asia
-0.474,600.2717,Europe
0.7988,396.265,Asia
-0.9804,522.1849,Americas
0.7056,442.0707,Europe
0.7646,629.4082999999999,Americas
-0.4219,465.7903000000001,Oceania
-1.8459,557.784,Europe
0.11972009202453987,573.9299,Europe
-0.4187,289.29299999999995,Americas
-0.1941,303.5715,Europe
0.2795,474.663,Oceania
1.1662,590.7418,Asia
-0.5018,514.4294000000001,Europe
-1.4036,346.87209999999993,Americas
0.3048,338.2596,Europe
-1.0847,295.1648,Asia
0.5513,625.9209,Asia
-1.407,398.5812,Asia
0.7027,499.9202,Europe
-1.8961,406.5133,Otro
0.3005,306.6462,Asia
0.02354851254722072,503.486,Europe
-3.7948,353.2301,Asia
-1.0492,499.5709,Americas
1.195,650.7796000000001,Oceania
0.4987,303.8722,Americas
-0.0364,430.2688,Americas
-0.12423293187805796,429.4265,Europe
-1.0323,436.055,Asia
0.1013,540.7222,Europe
0.8587,643.1614,Europe
-1.5091,351.45390000000003,Europe
-0.2385,413.7584,Americas
0.3322,614.2789,Europe
1.243,420.7305,Europe
0.1091,478.2503,Asia
-0.1026,536.39,Europe
-1.0929,427.107,Europe
0.9674,432.3615,Asia
-2.097,284.9262,Asia
-1.029,470.6753000000001,Asia
-1.7212,484.7371,Europe
-1.1236,419.9254,Asia
-0.9181,371.3768,Otro
-1.6675,451.0008000000001,Europe
-0.5523,297.2128000000001,Europe
-0.4693,417.4226000000001,Otro
-0.3498,448.1166,Europe
0.4448,476.4524,Oceania
0.2379,594.2411999999999,Europe
0.6212,575.8048000000001,Asia
0.8211,511.8317,Europe
0.2538160259610584,404.0882,Asia
0.518,527.2551000000001,Europe
-1.0612,335.56010000000003,Europe
-1.2799,390.6592,Asia
0.7672,571.6891,Europe
0.7366,482.0251,Oceania
0.9903,588.9082000000001,Asia
-0.8202,444.5285,Europe
0.4794,419.4114,Asia
-2.7323,188.08210000000005,Asia
0.8483,666.5024,Europe
-0.7932,469.9875,Asia
-0.8271,564.0790999999999,Europe
-0.2343,561.1814,Europe
-2.0193,431.3392,Americas
0.6886,611.0017,Europe
-0.637,573.75,Europe
0.32525117631851086,409.3485,Asia
-1.8185,334.2953,Asia
0.7914,514.2482,Asia
1.0066,495.9445,Europe
-0.1196,371.3393,Europe
-0.6722,353.0328,Americas
-0.283,443.6909,Americas
0.2654,392.128,Europe
-0.6849,550.8846,Asia
-1.3975,450.0673000000001,Europe
-0.8651,360.7521,Asia
0.2153,432.1701,Europe
0.11453603678929766,326.5308,Asia
0.8492,408.5406,Asia
0.3364,517.4436000000001,Europe
0.4854,509.3398,Europe
-0.8266,429.6077,Asia
1.275,504.9532,Europe
-0.1849,669.1499,Europe
-3.4253,383.0702,Asia
0.6808,590.5767,Oceania
1.0993,537.5453,Europe
-1.2752,296.7071,Europe
-1.2729,280.5982,Europe
-1.6087,261.0409,Americas
-0.447,418.05570000000006,Americas
-0.5121,582.9698999999999,Europe
0.3521,477.9539000000001,Europe
-0.9929,385.6691,Asia
-0.5439,301.1034,Asia
-1.7247,372.2164,Asia
0.7044,513.5624,Europe
-0.6545,408.1345,Americas
1.1944,609.5054,Americas
-0.3612,582.5865,Europe
-1.1864,321.34130000000005,Europe
-0.2529,418.23160000000007,Europe
-1.3311,400.12770000000006,Americas
-1.1207971833020367,332.49920000000003,Americas
0.8572,639.278,Asia
0.3339245045802954,645.5087,Americas
0.7162,549.3731,Europe
-1.3772,442.7089,Asia
-2.8107,320.90590000000003,Asia
0.0121,401.364,Asia
-1.9908,575.5348,Europe
-1.3679,269.3721,Otro
-1.1537,355.7802,Europe
-0.9585,440.1243,Europe
1.358,558.3965000000001,Americas
0.6496,585.8545000000001,Europe
0.0605,503.408,Europe
0.8803,582.3983000000001,Asia
0.0345,403.73910000000006,Europe
-1.6367,377.4679,Asia
-0.9879,276.3354,Europe
0.32525117631851086,389.9221,Asia
0.7801,527.8686,Europe
1.1991,585.2022,Europe
0.4985,544.5521,Asia
-1.2057,473.3822,Europe
-0.6438,407.40289999999993,Europe
-1.0249,504.5719,Americas
-1.1944,428.9452,Europe
0.1573,496.6734,Europe
0.509,523.6610000000001,Europe
-0.5799,351.6292,Americas
-0.1741,511.3867,Europe
-1.9681,367.4964,Otro
-0.6121,587.0289,Europe
1.3106,500.1435,Europe
0.2661,374.7862,Europe
-0.8167964351567302,411.7833,Americas
-1.8554,343.1352,Americas
-3.7504,372.552,Americas
-0.8133,487.53039999999993,Europe
0.8799,522.9955000000001,Americas
1.1771,534.7656,Europe
-0.1704,441.6388,Europe
0.0032,539.6704,Europe
0.5791,481.45589999999993,Europe
1.167,511.0391,Europe
-1.4752,380.2912,Americas
-0.7907,318.74490000000003,Europe
-0.8532,408.8567,Asia
0.8681,475.68500000000006,Asia
0.8934,730.2765999999999,Oceania
0.1046,368.916,Europe
0.326,577.9100000000001,Europe
-1.3742,476.6356,Europe
-1.9458,480.3379,Americas
0.4461,537.0352,Europe
1.0132,441.2949,Asia
1.2985,644.1905999999999,Europe
-0.864,443.3893,Americas
-0.2178,435.808,Europe
1.3881,678.6938,Europe
1.0818,578.4350999999999,Americas
1.3955,390.1694,Americas
-0.9467,456.1489,Asia
0.2575,380.2504,Asia
-0.0955,565.4091000000001,Oceania
-0.8411,439.8812,Europe
-3.3907,400.3497,Americas
-0.0882,481.39970000000005,Europe
0.2296,389.8721,Americas
-2.1734,543.1723,Asia
0.1735,474.0192,Americas
1.4774,591.3188,Oceania
-0.7222,416.1804,Asia
0.9332,519.0124999999999,Americas
-0.6684,390.4093,Europe
0.876,576.7713,Asia
-0.3537,262.10939999999994,Asia
-0.4061,368.2496,Otro
-0.6029,515.9771,Asia
-0.027,552.1211999999999,Asia
0.5169,553.5329,Europe
-1.9307,244.7466,Americas
-0.5081,421.2555,Europe
0.8438,454.4939,Europe
-0.8817,415.37430000000006,Europe
1.4377,500.9256,Europe
-1.8146,286.7239,Europe
-0.1965,411.8286,Asia
-3.4242,318.5335,Asia
-1.4217,341.16870000000006,Americas
