Grupo,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,GTM,HKG,HRV,HUN,IDN,IRL,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KHM,KOR,KSV,LTU,LVA,MAC,MAR,MDA,MEX,MKD,MLT,MNE,MNG,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,SAU,SGP,SLV,SRB,SVK,SVN,SWE,TAP,THA,TUR,URY,USA,UZB,VNM
Inmigrante 1ra generación,339.9228655172414,474.8450394079023,374.8161712686567,498.89544986225894,448.5705398496241,444.02655889175264,401.63317209302323,332.26715416666667,497.899224609375,486.3585505157862,472.60576816647915,392.7984958466454,373.4252901639344,366.5229472340426,449.0393242038216,404.3614813308688,432.21722407002187,329.0792739837398,437.2751202863962,484.8426565789473,411.76046540284364,407.16125825471704,476.68307280080893,376.89557777777776,380.6248890510949,376.636368,529.892239909297,457.3701726027398,472.88970000000006,308.37978,483.058311682243,419.3561171875,406.4588277777778,424.37630231362465,355.04551764705883,360.58416599264706,,442.5875248472505,237.24182000000002,446.30903750000004,352.56829259259257,489.8669016129032,486.2458324324324,562.149500623053,321.79013125,373.16145312500004,327.2840835820895,366.6701867647059,478.4781625454546,406.902614556962,353.81916,380.84460869565214,427.2489675324676,432.4946935684647,480.4657386567164,397.1505208860759,387.6095111111111,305.16792333333336,442.2631017857143,436.5492553488372,354.5102902439025,335.2308924242424,445.6235327749684,438.26428888888887,417.71959603729607,588.3416424570912,346.2337304347826,437.0891240740741,460.0951546875,417.82814611528823,422.8699299363057,438.7220666666667,369.2656138888889,400.78296,424.06416875,440.21451904761904,333.4876703703704,422.3101666666667
Inmigrante 2da generación,325.3484777777778,455.93764011874475,381.35379123809525,505.85895268189057,453.709195601173,454.6067582513661,379.9284222222222,338.7175423076923,471.7003339506173,503.06666192628654,476.5997734571998,459.6656366197183,336.64633636363635,370.9900212062257,492.84569569892477,458.11057475247526,438.07566801346803,309.5675109589041,458.9350094484823,493.47128713080167,435.22909951397327,431.9154237715804,500.5539118055556,331.8339205882353,406.16159890965736,290.76060588235293,544.6393906913446,449.2782085339168,499.5471231707317,322.58931875,487.7575154285714,434.72069130434784,461.3850221448468,447.6968083811711,340.30157692307694,370.4151445595855,,451.13300658914727,304.23151666666666,543.2448666666667,341.77704545454543,453.2174981132075,486.2046460992908,557.2086576785714,306.46394375,409.7587141025641,355.1161580645161,341.30658405797107,447.1307073684211,415.0892099056604,360.87320714285715,382.8732837837838,448.04296908315564,447.41197933450087,496.2970041474655,394.8212295081967,308.369994117647,280.5191915662651,558.451,463.7951880645162,355.61064468085107,352.85396637168145,416.987053271028,366.6777375,413.40590340557276,605.1814129655172,307.7758842105263,445.3431887096774,461.9820027027027,431.79382170542635,448.0934141975309,495.008272,369.03423740458015,460.7241538461539,413.8190913043478,459.76362145454544,340.4558625,523.7554250000001
Nativo,368.64425291886545,392.74147663125945,389.2079196147729,481.3657506212137,504.04711009573543,505.36511555724036,418.62914788802385,381.34828663007073,436.8500756107018,481.0387110836569,523.399353620573,430.02773304390564,391.37603970259244,386.406593344519,500.4932869286683,490.7838132749179,490.6641821104699,340.698658827095,486.65800708605565,514.6371698562136,487.2911274129889,477.7656487037369,480.56492221412304,390.8617861316113,437.9552448257468,345.58715254467756,548.6950802149353,464.1754387867975,479.5237281280951,379.21883197730835,493.52826633448876,461.8183727301893,458.60663432386684,478.58130502582867,371.76795184893786,359.7172441112243,,445.88944445525294,327.6337194978124,531.2926029850746,352.52802721604314,471.65755453519535,482.45578704523575,541.4964970132108,363.6909261768588,415.8186784979592,396.3449226171244,391.2733190947011,468.8054391730141,405.62394290982854,424.15238498924737,409.8685355708549,499.07176249424765,473.763123281756,475.18251353763765,351.32081336416184,394.42412780197446,355.4508947375886,494.87066319771355,478.95343804724934,340.5280870096077,365.08584515920273,377.0339887856258,435.7693449330784,385.9586769753886,565.9168325722665,345.22423015158336,439.2455834640181,468.7586473702604,476.94833387203164,494.85634263969973,534.2392800687285,415.4995992795389,452.5701620297586,409.0898275825019,465.0214951372998,364.1792309504018,468.8204626794258
